date,HomeTeam,AwayTeam,B365H,B365D,B365A,BWH,BWD,BWA
2013-12-26,Tottenham,West Brom,1.53,4.33,7.0,1.5,3.9,7.0
2013-12-26,West Ham,Arsenal,6.5,4.0,1.62,6.0,3.75,1.57
2013-12-28,Aston Villa,Swansea,3.0,3.3,2.55,2.75,3.25,2.5
2013-12-28,Cardiff,Sunderland,2.38,3.25,3.4,2.25,3.2,3.2
2013-12-28,Hull,Fulham,2.05,3.4,4.1,2.0,3.25,3.75
2013-12-28,Man City,Crystal Palace,1.13,9.5,29.0,1.1,8.5,21.0
2013-12-28,Norwich,Man United,6.5,4.2,1.57,6.0,4.0,1.53
2013-12-28,West Ham,West Brom,2.38,3.4,3.25,2.3,3.3,3.0
2013-12-29,Chelsea,Liverpool,2.2,3.5,3.5,2.15,3.4,3.2
2013-12-29,Everton,Southampton,1.83,3.7,4.75,1.8,3.4,4.5
2013-12-29,Newcastle,Arsenal,4.0,3.7,2.0,3.75,3.4,1.95
2013-12-29,Tottenham,Stoke,1.44,4.33,8.0,1.45,4.2,7.0
2014-01-01,Arsenal,Cardiff,1.29,6.0,13.0,1.25,5.75,10.5
2014-01-01,Crystal Palace,Norwich,2.38,3.3,3.3,2.35,3.1,3.1
2014-01-01,Fulham,West Ham,2.5,3.3,3.1,2.35,3.1,3.1
2014-01-01,Liverpool,Hull,1.3,6.0,11.0,1.25,5.75,10.5
2014-01-01,Man United,Tottenham,1.8,3.8,4.75,1.7,3.8,4.6
2014-01-01,Southampton,Chelsea,4.0,3.5,2.05,3.75,3.5,1.95
2014-01-01,Stoke,Everton,4.0,3.3,2.1,3.7,3.3,2.0
2014-01-01,Sunderland,Aston Villa,2.15,3.4,3.75,2.1,3.2,3.5
2014-01-01,Swansea,Man City,5.75,4.25,1.62,5.0,4.1,1.6
2014-01-01,West Brom,Newcastle,2.6,3.4,2.88,2.45,3.2,2.85
2014-01-11,Cardiff,West Ham,2.0,3.5,4.1,1.95,3.3,4.0
2014-01-11,Everton,Norwich,1.4,5.0,9.0,1.36,4.33,10.0
2014-01-11,Fulham,Sunderland,2.2,3.3,3.75,2.2,3.2,3.4
2014-01-11,Hull,Chelsea,6.5,4.0,1.6,6.0,3.8,1.57
2014-01-11,Man United,Swansea,1.57,4.0,7.0,1.52,3.9,6.25
2014-01-11,Southampton,West Brom,1.83,3.7,4.75,1.75,3.7,4.5
2014-01-11,Tottenham,Crystal Palace,1.36,5.0,10.0,1.34,4.75,9.25
2014-01-12,Newcastle,Man City,5.25,4.0,1.7,5.0,4.0,1.62
2014-01-12,Stoke,Liverpool,5.75,4.0,1.67,5.5,3.75,1.62
2014-01-13,Aston Villa,Arsenal,6.0,4.2,1.62,6.0,3.9,1.55
2014-01-18,Arsenal,Fulham,1.22,7.0,15.0,1.2,6.5,12.5
2014-01-18,Crystal Palace,Stoke,2.35,3.2,3.5,2.2,3.2,3.4
2014-01-18,Liverpool,Aston Villa,1.22,7.0,15.0,1.2,6.75,11.5
2014-01-18,Man City,Cardiff,1.13,11.0,23.0,1.13,8.5,15.5
2014-01-18,Norwich,Hull,2.4,3.3,3.25,2.45,3.0,3.1
2014-01-18,Sunderland,Southampton,3.2,3.3,2.45,3.0,3.2,2.4
2014-01-18,West Ham,Newcastle,3.0,3.4,2.5,2.95,3.3,2.35
2014-01-19,Chelsea,Man United,1.73,3.8,5.5,1.75,3.75,4.4
2014-01-19,Swansea,Tottenham,3.25,3.4,2.38,3.1,3.2,2.35
2014-01-20,West Brom,Everton,3.5,3.4,2.25,3.2,3.25,2.25
2014-01-28,Crystal Palace,Hull,2.5,3.2,3.2,2.5,3.0,3.0
2014-01-28,Liverpool,Everton,1.83,3.9,4.5,1.75,3.8,4.33
2014-01-28,Man United,Cardiff,1.25,6.5,15.0,1.22,6.0,12.5
2014-01-28,Norwich,Newcastle,2.7,3.4,2.8,2.55,3.3,2.7
2014-01-28,Southampton,Arsenal,4.33,3.5,1.95,4.1,3.5,1.87
2014-01-28,Swansea,Fulham,1.75,3.75,5.25,1.7,3.5,5.25
2014-01-29,Aston Villa,West Brom,2.6,3.3,3.0,2.5,3.25,2.8
2014-01-29,Chelsea,West Ham,1.18,8.0,19.0,1.2,6.5,13.0
2014-01-29,Sunderland,Stoke,2.1,3.4,3.9,2.0,3.3,3.8
2014-01-29,Tottenham,Man City,3.75,3.75,2.05,3.5,3.6,2.0
2014-02-01,Cardiff,Norwich,2.3,3.4,3.4,2.2,3.25,3.3
2014-02-01,Everton,Aston Villa,1.53,4.33,7.0,1.42,4.33,7.5
2014-02-01,Fulham,Southampton,3.6,3.4,2.2,3.4,3.3,2.15
2014-02-01,Hull,Tottenham,4.0,3.5,2.05,3.75,3.5,1.95
2014-02-01,Newcastle,Sunderland,1.95,3.5,4.33,1.8,3.5,4.4
2014-02-01,Stoke,Man United,7.0,4.0,1.57,6.0,3.9,1.55
2014-02-01,West Ham,Swansea,2.9,3.4,2.6,2.85,3.25,2.45
2014-02-02,Arsenal,Crystal Palace,1.22,7.0,16.0,1.2,6.5,12.5
2014-02-02,West Brom,Liverpool,5.75,4.33,1.62,5.75,3.6,1.62
2014-02-03,Man City,Chelsea,1.85,3.8,4.5,1.8,3.75,4.1
2014-02-08,Aston Villa,West Ham,2.1,3.5,3.8,2.0,3.3,3.8
2014-02-08,Chelsea,Newcastle,1.25,6.25,15.0,1.25,5.5,12.0
2014-02-08,Crystal Palace,West Brom,2.6,3.3,3.0,2.5,3.2,2.85
2014-02-08,Liverpool,Arsenal,2.2,3.6,3.4,2.1,3.5,3.25
2014-02-08,Norwich,Man City,9.0,5.5,1.36,9.0,5.25,1.31
2014-02-08,Southampton,Stoke,1.55,4.0,7.5,1.5,4.2,6.25
2014-02-08,Sunderland,Hull,2.15,3.4,3.8,2.1,3.2,3.6
2014-02-08,Swansea,Cardiff,1.85,3.6,4.75,1.75,3.7,4.5
2014-02-09,Man United,Fulham,1.2,7.0,19.0,1.2,6.25,14.0
2014-02-09,Tottenham,Everton,2.1,3.5,3.75,2.05,3.3,3.6
2014-02-11,Cardiff,Aston Villa,2.5,3.4,3.0,2.45,3.2,2.9
2014-02-11,Hull,Southampton,3.0,3.25,2.6,2.85,3.2,2.5
2014-02-11,West Brom,Chelsea,7.5,4.5,1.5,7.0,4.25,1.45
2014-02-11,West Ham,Norwich,2.05,3.5,4.0,2.0,3.4,3.7
2014-02-12,Arsenal,Man United,2.15,3.5,3.6,2.1,3.4,3.4
2014-02-12,Fulham,Liverpool,8.0,5.25,1.4,7.25,4.5,1.42
2014-02-12,Newcastle,Tottenham,3.3,3.5,2.3,3.0,3.5,2.25
2014-02-12,Stoke,Swansea,2.7,3.25,2.9,2.5,3.2,2.85
2014-02-22,Arsenal,Sunderland,1.33,5.5,11.0,1.28,5.25,10.5
2014-02-22,Cardiff,Hull,2.75,3.2,2.88,2.5,3.1,2.9
2014-02-22,Chelsea,Everton,1.57,4.0,7.0,1.53,4.1,6.0
2014-02-22,Crystal Palace,Man United,6.5,4.0,1.6,6.5,3.6,1.57
2014-02-22,Man City,Stoke,1.18,8.0,19.0,1.16,7.5,14.5
2014-02-22,West Brom,Fulham,1.8,3.9,4.75,1.72,3.8,4.5
2014-02-22,West Ham,Southampton,3.2,3.4,2.4,3.0,3.25,2.35
2014-02-23,Liverpool,Swansea,1.3,5.75,12.0,1.31,5.25,9.0
2014-02-23,Newcastle,Aston Villa,2.1,3.4,3.9,2.05,3.25,3.7
2014-02-23,Norwich,Tottenham,3.8,3.5,2.1,3.7,3.4,2.0
2014-03-01,Everton,West Ham,1.53,4.2,7.5,1.5,4.0,6.75
2014-03-01,Fulham,Chelsea,8.0,4.75,1.45,6.75,4.33,1.45
2014-03-01,Hull,Newcastle,2.45,3.2,3.3,2.4,3.3,3.1
2014-03-01,Southampton,Liverpool,3.75,3.75,2.05,3.75,3.5,2.05
