date,home_team,away_team,League,B365H,B365D,B365A,BWH,BWD,BWA,competition_id
2013-11-10,Mainz,Ein Frankfurt,"Bundesliga, Germany (L1)",2.5,3.3,2.88,2.45,3.3,2.8,L1
2013-11-22,Stuttgart,M'gladbach,"Bundesliga, Germany (L1)",2.3,3.5,2.9,2.25,3.5,2.95,L1
2013-11-23,Augsburg,Hoffenheim,"Bundesliga, Germany (L1)",2.1,3.5,3.3,2.2,3.5,3.1,L1
2013-11-23,Braunschweig,Freiburg,"Bundesliga, Germany (L1)",2.4,3.3,2.9,2.3,3.4,2.95,L1
2013-11-23,Dortmund,Bayern Munich,"Bundesliga, Germany (L1)",3.6,3.6,2.0,3.7,3.6,1.95,L1
2013-11-23,Ein Frankfurt,Schalke 04,"Bundesliga, Germany (L1)",2.6,3.4,2.6,2.6,3.5,2.55,L1
2013-11-23,Hertha,Leverkusen,"Bundesliga, Germany (L1)",3.0,3.25,2.38,2.9,3.5,2.3,L1
2013-11-23,Nurnberg,Wolfsburg,"Bundesliga, Germany (L1)",3.2,3.4,2.2,3.4,3.3,2.15,L1
2013-11-24,Hamburg,Hannover,"Bundesliga, Germany (L1)",2.0,3.6,3.5,2.05,3.5,3.4,L1
2013-11-24,Werder Bremen,Mainz,"Bundesliga, Germany (L1)",2.38,3.4,2.88,2.35,3.5,2.8,L1
2013-11-29,Wolfsburg,Hamburg,"Bundesliga, Germany (L1)",1.8,3.6,4.33,1.83,3.75,4.0,L1
2013-11-30,Bayern Munich,Braunschweig,"Bundesliga, Germany (L1)",1.06,15.0,51.0,1.06,12.5,23.0,L1
2013-11-30,Hertha,Augsburg,"Bundesliga, Germany (L1)",2.0,3.5,3.6,2.0,3.5,3.6,L1
2013-11-30,Hoffenheim,Werder Bremen,"Bundesliga, Germany (L1)",1.8,3.75,4.2,1.8,3.8,4.0,L1
2013-11-30,Leverkusen,Nurnberg,"Bundesliga, Germany (L1)",1.44,4.5,6.5,1.42,4.75,6.75,L1
2013-11-30,Mainz,Dortmund,"Bundesliga, Germany (L1)",5.0,4.33,1.57,5.0,4.5,1.55,L1
2013-11-30,Schalke 04,Stuttgart,"Bundesliga, Germany (L1)",1.67,3.8,5.0,1.75,4.0,4.1,L1
2013-12-01,Hannover,Ein Frankfurt,"Bundesliga, Germany (L1)",2.4,3.4,2.8,2.4,3.5,2.75,L1
2013-12-01,M'gladbach,Freiburg,"Bundesliga, Germany (L1)",1.4,4.33,8.5,1.42,4.75,6.75,L1
2013-12-06,Nurnberg,Mainz,"Bundesliga, Germany (L1)",2.6,3.2,2.75,2.55,3.25,2.75,L1
2013-12-07,Dortmund,Leverkusen,"Bundesliga, Germany (L1)",1.5,4.33,6.0,1.5,4.4,5.75,L1
2013-12-07,Ein Frankfurt,Hoffenheim,"Bundesliga, Germany (L1)",2.1,3.6,3.25,2.1,3.6,3.2,L1
2013-12-07,Hamburg,Augsburg,"Bundesliga, Germany (L1)",2.05,3.5,3.5,2.0,3.7,3.4,L1
2013-12-07,M'gladbach,Schalke 04,"Bundesliga, Germany (L1)",2.25,3.4,3.1,2.25,3.5,3.0,L1
2013-12-07,Stuttgart,Hannover,"Bundesliga, Germany (L1)",2.0,3.5,3.6,1.95,3.6,3.6,L1
2013-12-07,Werder Bremen,Bayern Munich,"Bundesliga, Germany (L1)",12.0,6.0,1.22,9.75,6.0,1.25,L1
2013-12-08,Braunschweig,Hertha,"Bundesliga, Germany (L1)",3.5,3.3,2.1,3.3,3.4,2.15,L1
2013-12-08,Freiburg,Wolfsburg,"Bundesliga, Germany (L1)",3.75,3.4,2.0,3.5,3.6,2.0,L1
2013-12-13,Hertha,Werder Bremen,"Bundesliga, Germany (L1)",1.62,4.0,5.25,1.6,4.0,5.25,L1
2013-12-14,Augsburg,Braunschweig,"Bundesliga, Germany (L1)",1.5,4.0,7.0,1.5,4.25,6.0,L1
2013-12-14,Bayern Munich,Hamburg,"Bundesliga, Germany (L1)",1.1,9.0,21.0,1.09,10.5,17.5,L1
2013-12-14,Hannover,Nurnberg,"Bundesliga, Germany (L1)",1.95,3.5,3.75,1.91,3.5,3.9,L1
2013-12-14,Hoffenheim,Dortmund,"Bundesliga, Germany (L1)",4.33,4.0,1.73,4.75,3.9,1.67,L1
2013-12-14,Mainz,M'gladbach,"Bundesliga, Germany (L1)",2.75,3.3,2.5,2.8,3.3,2.45,L1
2013-12-14,Wolfsburg,Stuttgart,"Bundesliga, Germany (L1)",1.75,3.75,4.5,1.75,3.8,4.25,L1
2013-12-15,Leverkusen,Ein Frankfurt,"Bundesliga, Germany (L1)",1.44,4.33,7.0,1.48,4.75,5.5,L1
2013-12-15,Schalke 04,Freiburg,"Bundesliga, Germany (L1)",1.4,4.5,8.0,1.44,5.0,6.0,L1
2013-12-20,Ein Frankfurt,Augsburg,"Bundesliga, Germany (L1)",2.3,3.4,3.0,2.25,3.5,3.0,L1
2013-12-21,Braunschweig,Hoffenheim,"Bundesliga, Germany (L1)",4.0,3.4,1.91,4.0,3.7,1.83,L1
2013-12-21,Dortmund,Hertha,"Bundesliga, Germany (L1)",1.36,5.0,7.5,1.36,5.25,7.0,L1
2013-12-21,Freiburg,Hannover,"Bundesliga, Germany (L1)",2.45,3.3,2.8,2.5,3.4,2.7,L1
2013-12-21,Hamburg,Mainz,"Bundesliga, Germany (L1)",2.1,3.5,3.3,2.05,3.5,3.4,L1
2013-12-21,Nurnberg,Schalke 04,"Bundesliga, Germany (L1)",3.4,3.5,2.05,3.4,3.5,2.05,L1
2013-12-21,Werder Bremen,Leverkusen,"Bundesliga, Germany (L1)",4.5,3.75,1.73,4.5,3.8,1.72,L1
2013-12-22,M'gladbach,Wolfsburg,"Bundesliga, Germany (L1)",2.1,3.4,3.4,2.15,3.4,3.3,L1
2014-01-24,M'gladbach,Bayern Munich,"Bundesliga, Germany (L1)",6.5,4.5,1.44,6.75,4.75,1.42,L1
2014-01-25,Dortmund,Augsburg,"Bundesliga, Germany (L1)",1.29,5.5,9.5,1.33,5.5,7.5,L1
2014-01-25,Ein Frankfurt,Hertha,"Bundesliga, Germany (L1)",2.38,3.4,2.88,2.35,3.4,2.9,L1
2014-01-25,Freiburg,Leverkusen,"Bundesliga, Germany (L1)",4.5,3.75,1.73,4.4,3.75,1.75,L1
2014-01-25,Nurnberg,Hoffenheim,"Bundesliga, Germany (L1)",2.6,3.4,2.63,2.55,3.6,2.55,L1
2014-01-25,Stuttgart,Mainz,"Bundesliga, Germany (L1)",2.05,3.4,3.5,2.0,3.5,3.6,L1
2014-01-25,Wolfsburg,Hannover,"Bundesliga, Germany (L1)",1.55,4.2,5.5,1.57,4.0,5.5,L1
2014-01-26,Hamburg,Schalke 04,"Bundesliga, Germany (L1)",2.7,3.6,2.4,2.8,3.5,2.35,L1
2014-01-26,Werder Bremen,Braunschweig,"Bundesliga, Germany (L1)",1.85,3.5,4.2,1.75,3.7,4.5,L1
2014-01-29,Stuttgart,Bayern Munich,"Bundesliga, Germany (L1)",10.0,6.0,1.25,9.0,6.5,1.25,L1
2014-01-31,Braunschweig,Dortmund,"Bundesliga, Germany (L1)",10.0,5.5,1.29,9.25,5.75,1.28,L1
2014-02-01,Augsburg,Werder Bremen,"Bundesliga, Germany (L1)",1.67,3.75,5.0,1.67,3.9,4.75,L1
2014-02-01,Hannover,M'gladbach,"Bundesliga, Germany (L1)",2.7,3.4,2.5,2.65,3.4,2.55,L1
2014-02-01,Hoffenheim,Hamburg,"Bundesliga, Germany (L1)",2.05,3.4,3.5,2.0,3.75,3.4,L1
2014-02-01,Leverkusen,Stuttgart,"Bundesliga, Germany (L1)",1.5,4.2,6.25,1.5,4.4,5.75,L1
2014-02-01,Mainz,Freiburg,"Bundesliga, Germany (L1)",1.75,3.75,4.5,1.75,3.7,4.4,L1
2014-02-01,Schalke 04,Wolfsburg,"Bundesliga, Germany (L1)",2.0,3.5,3.6,2.0,3.5,3.6,L1
2014-02-02,Bayern Munich,Ein Frankfurt,"Bundesliga, Germany (L1)",1.1,10.0,17.0,1.11,9.25,16.5,L1
2014-02-02,Hertha,Nurnberg,"Bundesliga, Germany (L1)",1.83,3.6,4.2,1.83,3.6,4.1,L1
2014-02-07,M'gladbach,Leverkusen,"Bundesliga, Germany (L1)",2.55,3.3,2.7,2.55,3.5,2.55,L1
2014-02-08,Ein Frankfurt,Braunschweig,"Bundesliga, Germany (L1)",1.62,3.75,5.5,1.62,4.0,5.0,L1
2014-02-08,Freiburg,Hoffenheim,"Bundesliga, Germany (L1)",2.63,3.5,2.5,2.65,3.5,2.5,L1
2014-02-08,Hamburg,Hertha,"Bundesliga, Germany (L1)",2.6,3.4,2.6,2.55,3.5,2.55,L1
2014-02-08,Nurnberg,Bayern Munich,"Bundesliga, Germany (L1)",11.0,6.5,1.22,9.25,7.0,1.22,L1
2014-02-08,Werder Bremen,Dortmund,"Bundesliga, Germany (L1)",8.0,4.75,1.36,7.0,5.25,1.36,L1
2014-02-08,Wolfsburg,Mainz,"Bundesliga, Germany (L1)",1.8,3.6,4.33,1.8,3.7,4.2,L1
2014-02-09,Schalke 04,Hannover,"Bundesliga, Germany (L1)",1.57,3.8,6.0,1.57,4.33,5.0,L1
2014-02-09,Stuttgart,Augsburg,"Bundesliga, Germany (L1)",2.4,3.4,2.8,2.4,3.4,2.8,L1
2014-02-14,Mainz,Hannover,"Bundesliga, Germany (L1)",1.91,3.5,4.0,1.91,3.6,3.75,L1
2014-02-15,Bayern Munich,Freiburg,"Bundesliga, Germany (L1)",1.08,10.0,23.0,1.08,11.0,19.5,L1
2014-02-15,Braunschweig,Hamburg,"Bundesliga, Germany (L1)",2.75,3.3,2.5,2.65,3.3,2.6,L1
2014-02-15,Dortmund,Ein Frankfurt,"Bundesliga, Germany (L1)",1.25,6.0,10.0,1.28,6.25,8.25,L1
2014-02-15,Hoffenheim,Stuttgart,"Bundesliga, Germany (L1)",1.95,3.6,3.6,1.95,3.6,3.7,L1
2014-02-15,Leverkusen,Schalke 04,"Bundesliga, Germany (L1)",2.1,3.4,3.4,2.15,3.4,3.3,L1
2014-02-15,Werder Bremen,M'gladbach,"Bundesliga, Germany (L1)",3.5,3.5,2.05,3.5,3.6,2.0,L1
2014-02-16,Augsburg,Nurnberg,"Bundesliga, Germany (L1)",1.8,3.6,4.33,1.78,3.7,4.25,L1
2014-02-16,Hertha,Wolfsburg,"Bundesliga, Germany (L1)",2.38,3.4,2.88,2.45,3.3,2.8,L1
2014-02-21,Schalke 04,Mainz,"Bundesliga, Germany (L1)",1.75,3.6,4.6,1.72,3.8,4.5,L1
2014-02-22,Freiburg,Augsburg,"Bundesliga, Germany (L1)",3.1,3.25,2.3,3.0,3.3,2.35,L1
2014-02-22,Hamburg,Dortmund,"Bundesliga, Germany (L1)",7.5,5.0,1.36,7.0,5.25,1.36,L1
2014-02-22,M'gladbach,Hoffenheim,"Bundesliga, Germany (L1)",1.95,3.6,3.6,1.88,3.6,3.9,L1
2014-02-22,Nurnberg,Braunschweig,"Bundesliga, Germany (L1)",1.62,3.75,5.5,1.62,4.0,5.0,L1
2014-02-22,Stuttgart,Hertha,"Bundesliga, Germany (L1)",2.63,3.3,2.6,2.6,3.25,2.65,L1
2014-02-22,Wolfsburg,Leverkusen,"Bundesliga, Germany (L1)",2.4,3.4,2.8,2.4,3.4,2.8,L1
2014-02-23,Ein Frankfurt,Werder Bremen,"Bundesliga, Germany (L1)",1.7,3.75,4.75,1.7,3.8,4.6,L1
2014-02-23,Hannover,Bayern Munich,"Bundesliga, Germany (L1)",10.0,7.0,1.22,10.0,6.0,1.25,L1
2014-02-28,Hertha,Freiburg,"Bundesliga, Germany (L1)",1.62,3.75,5.5,1.62,4.0,5.0,L1
2014-03-01,Augsburg,Hannover,"Bundesliga, Germany (L1)",1.75,3.6,4.75,1.75,3.8,4.2,L1
2014-03-01,Bayern Munich,Schalke 04,"Bundesliga, Germany (L1)",1.18,7.0,13.0,1.18,7.5,11.5,L1
2014-03-01,Braunschweig,M'gladbach,"Bundesliga, Germany (L1)",4.0,3.5,1.91,3.0,3.5,1.87,L1
2014-03-01,Dortmund,Nurnberg,"Bundesliga, Germany (L1)",1.22,6.5,11.0,1.26,6.5,8.5,L1
2014-03-01,Leverkusen,Mainz,"Bundesliga, Germany (L1)",1.75,3.8,4.33,1.75,3.75,4.5,L1
2014-03-01,Werder Bremen,Hamburg,"Bundesliga, Germany (L1)",2.63,3.5,2.5,2.65,3.6,2.6,L1
2014-03-02,Ein Frankfurt,Stuttgart,"Bundesliga, Germany (L1)",2.1,3.5,3.3,2.15,3.6,3.4,L1
2014-03-02,Hoffenheim,Wolfsburg,"Bundesliga, Germany (L1)",2.6,3.4,2.6,2.75,3.6,2.5,L1
2014-03-08,Hamburg,Ein Frankfurt,"Bundesliga, Germany (L1)",2.5,3.3,2.75,2.3,3.5,2.9,L1
2014-03-08,Hannover,Leverkusen,"Bundesliga, Germany (L1)",3.0,3.4,2.3,3.1,3.4,2.25,L1
2014-03-08,M'gladbach,Augsburg,"Bundesliga, Germany (L1)",2.3,3.25,3.1,2.15,3.4,3.25,L1
2014-03-08,Nurnberg,Werder Bremen,"Bundesliga, Germany (L1)",1.91,3.5,4.0,1.85,3.7,3.9,L1
2014-03-08,Schalke 04,Hoffenheim,"Bundesliga, Germany (L1)",1.75,4.0,4.2,1.75,3.9,4.25,L1
2014-03-08,Stuttgart,Braunschweig,"Bundesliga, Germany (L1)",1.67,3.8,5.0,1.62,4.0,5.0,L1
2014-03-08,Wolfsburg,Bayern Munich,"Bundesliga, Germany (L1)",9.0,5.75,1.29,8.5,5.5,1.3,L1
2014-03-09,Freiburg,Dortmund,"Bundesliga, Germany (L1)",9.0,5.0,1.33,7.25,5.25,1.35,L1
2014-03-09,Mainz,Hertha,"Bundesliga, Germany (L1)",2.2,3.2,3.4,2.15,3.4,3.3,L1
2014-03-14,Augsburg,Schalke 04,"Bundesliga, Germany (L1)",2.25,3.3,3.1,2.4,3.5,2.75,L1
